Organisme	démarches	dossiers
DREETS Auvergne Rhône Alpes	6	125
Direction Départementale des Territoires de la Savoie	4	124
Direction départementale de la protection des populations d'Indre-et-Loire	4	123
Direction Régionale et Interdépartementale de l'Alimentation, de l'Agriculture et de la Forêt d'Île-de-France	10	123
DDT Haute-Saône	4	122
DRDFE Normandie	3	122
DIRECTION REGIONALE DES DOUANES DE LA REUNION	1	121
Rectorat de la région académique Provence-Alpes-Côte d'Azur	1	120
DREAL Normandie	1	120
DCL/SLAC/Bureau des finances locales  et Secrétariat Général pour les Affaires Régionales (SGAR)	1	120
Communauté d'Agglomération de Lisieux	2	120
Office français de la biodiversité	3	120
Préfecture de La Réunion - Ministère de l'Intérieur	4	118
Ministère de l'agriculture et de la souveraineté alimentaire, Préfet de la Manche, DDTM de la Manche	1	117
CMA Région Guadeloupe, CMA France, Ministère de l'Economie et des Finances	1	117
Ministère de l'Intérieur / Préfecture de Mayotte/ Direction des Relations avec les Collectivités Locales et du Foncier Public/ Bureau des dotations	1	117
Direction Départementale des Territoires et de la Mer de la Somme	3	117
Conseil départemental du Puy-de-Dôme	6	116
Ministère des transports	2	115
URSSAF Limousin, CARSAT Centre-ouest, CAF Haute-Vienne, CPAM Haute-Vienne	1	114
DAAF 971, Ministère de l'Agriculture et de la Souveraineté alimentaire	1	114
Ministère de l'Economie,des Finances et de la Relance	1	114
Direction générale des finances publiques	1	114
Conseil Régional des Pays de la Loire	3	114
Rectorat, Académie Nancy-Metz, Région Académique Grand Est	3	114
Préfecture de la Guyane	2	112
Agence régionale de santé de Nouvelle Aquitaine	1	111
DINSIC	4	111
Direction des Services Départementaux de l'Education Nationale du Rhône 	1	110
Direction Départementale des Territoires du Cher	3	108
ARS Centre-Val de Loire	6	108
DIRECTION REGIONALE DES DOUANES DE LA REUNION, MINISTERE de l'Économie, des Finances et de la Souveraineté industrielle et numérique	1	106
Direction générale de la cohésion sociale (DGCS)	1	106
Direction départementale des Territoires de la Haute-Saône	2	106
Direction départementale des territoires et de la mer du Pas-de-Calais	3	106
